ticker,text,length,industry_group,labels
CALA,"calithera biosciences, inc., a clinical-stage bio-pharmaceutical company, focuses on the discovery and development of small molecule compounds for tumor metabolism and tumor immunology targets for the treatment of cancer in the united states. the company offers incb001158, an orally bioavailable arginase inhibitor of arginase that is in phase 1/2 clinical trial for the treatment of hematology and oncology. it is developing cb-280, an oral arginase inhibitor that has completed phase 1b clinical trial for the treatment of cystic fibrosis and chronic airway infection; and atg-037, an orally-bioavailable small molecule inhibitor of cd73, as well as cb-668, an orally administered inhibitor of the enzyme il4i1. the company has a license agreement with mars, inc. to develop and commercialize symbioscience's portfolio of arginase inhibitors for use in human healthcare. it also has clinical trial collaboration with pfizer to evaluate pfizer's parp inhibitor talazoparib and cdk4/6 inhibitor palbociclib, each in combination with telaglenasta. in addition, the company has a collaboration and license agreement with incyte corporation for the research, development, and commercialization of incb001158, a small molecule arginase inhibitor for the treatment of hematology and oncology; and a license agreement with antengene corporation ltd. for the development and commercialization of cb-708. calithera biosciences, inc. was incorporated in 2010 and is headquartered in south san francisco, california.",213,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
CALM,"cal-maine foods, inc., together with its subsidiaries, produces, grades, packages, markets, and distributes shell eggs. the company offers specialty shell eggs, such as nutritionally enhanced, cage free, organic, and brown eggs under the egg-land's best, land o' lakes, farmhouse eggs, and 4-grain brand names, as well as under private labels. it sells its products to various customers, including national and regional grocery store chains, club stores, independent supermarkets, foodservice distributors, and egg product consumers primarily in the southwestern, southeastern, mid-western, and mid-atlantic regions of the united states. cal-maine foods, inc. was founded in 1957 and is headquartered in ridgeland, mississippi.",100,"Food, Beverage & Tobacco",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CALX,"calix, inc., together with its subsidiaries, provides cloud and software platforms, and systems and services in the united states, rest of americas, europe, the middle east, africa, and the asia pacific. the company's cloud and software platforms, and systems and services enable broadband service providers (bsps) to provide a range of services. it provides calix cloud platform, a role-based analytics platform comprising calix marketing cloud, calix support cloud, and calix operations cloud, which are configurable to display role-based insights and enable bsps to anticipate and target new revenue-generating services and applications through mobile application. the company also offers exos, a carrier class premises operating system and fully integrated with its gigaspire family of systems to be ready for deployment as a complete subscriber experience solutions for bsp's residential and business subscribers; and axos, a software platform to access edge of the network by its architecture and operations. it offers its products through its direct sales force and resellers. calix, inc. was incorporated in 1999 and is headquartered in san jose, california.",171,Technology Hardware & Equipment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
CAMP,"calamp corp., a connected intelligence company, provides leverages a data-driven solutions ecosystem to people and organizations in the united states, europe, the middle east, africa, latin america, the asia-pacific, and internationally. the company operates in two segments, software & subscription services and telematics products. it provides calamp telematics cloud platform, such as cloud-based application enablement and telematics service platforms that facilitate integration of its own applications, as well as those of third parties, through open application programming interfaces; and software as a service application, as well as provides tracking and monitoring services within fleet management, supply chain integrity, and international vehicle location. the company also offers telematics products, including asset tracking units, mobile telematics devices, fixed and mobile wireless gateways, and routers; and advanced telematics products for the broader connected vehicle and internet of things marketplace, which enable customers to optimize their operations by collecting, monitoring, and reporting business-critical information and desired intelligence from remote and mobile assets. in addition, it offers professional services, including project management, engineering services, and installation services. the company sells its products and services to customers in the automotive, telecommunications, industrial equipment, transportation and logistics, government and municipalities, insurance, auto dealers, original equipment manufacturers, and leasing companies. it markets through direct sales organization, channel partner program, original equipment manufacturers, and independent sales representatives and distributors, as well as its websites and digital platform. the company was incorporated in 1981 and is headquartered in irvine, california.",240,Technology Hardware & Equipment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
CAR,"avis budget group, inc., together with its subsidiaries, provides car and truck rentals, car sharing, and ancillary products and services to businesses and consumers. it operates the avis brand, that offers vehicle rental and other mobility solutions to the premium commercial and leisure segments of the travel industry; the budget truck brand, a local, and one-way truck and cargo van rental businesses with a fleet of approximately 20,000 vehicles, which are rented through a network of approximately 465 dealer-operated and 385 company-operated locations that serve the consumer and light commercial sectors in the continental united states; and the zipcar brand, a car sharing network. the company also operates various other car rental brands, such as budget, payless, apex, maggiore, morinirent, francecars, amicoblue, turiscar, and acl hire. in addition, it offers optional insurance products and coverages, such as supplemental liability, personal accident, personal effects protection, emergency sickness protection, and automobile towing protection and cargo insurance products; fuel service options, roadside assistance services, electronic toll collection services, curbside delivery, tablet rentals, access to satellite radio, portable navigation units, and child safety seat rentals; automobile towing equipment and other moving accessories, such as hand trucks, furniture pads, and moving supplies; and business intelligence solution, an online portal for corporate travel. avis budget group, inc. operates in approximately 10,400 locations worldwide. the company was formerly known as cendant corporation and changed its name to avis budget group, inc. in september 2006. avis budget group, inc. was founded in 1946 and is headquartered in parsippany, new jersey.",252,Transportation,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
CARA,"cara therapeutics, inc., an early commercial-stage biopharmaceutical company, focuses on developing and commercializing chemical entities with a primary focus on pruritus and pain by selectively targeting kappa opioid receptors in the united states. the company is developing product candidates that target the body's peripheral nervous system and immune cells. the company's lead product is korsuva (difelikefalin) injection for the treatment of moderate-to-severe pruritus associated with chronic kidney disease (ckd) in adults undergoing hemodialysis. its product candidate includes oral korsuva (difelikefalin), which has completed phase ii clinical trial to treat pruritus atopic dermatitis and pruritus non-dialysis-dependent chronic kidney disease (ndd-ckd) associated pruritus; and in phase ii clinical trial to treat pruritus chronic liver disease (cld) primary biliary cholangitis (pbc) and notalgia paresthetica. the company has license agreements with maruishi pharmaceutical co., ltd to develop, manufacture, and commercialize drug products containing difelikefalin for acute pain and uremic pruritus in japan; and chong kun dang pharmaceutical corporation to develop, manufacture, and commercialize drug products containing difelikefalin in south korea. cara therapeutics, inc. was incorporated in 2004 and is based in stamford, connecticut.",179,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
CARE,"carter bankshares, inc. operates as the bank holding company for carter bank & trust that provides various banking products and services. it accepts various deposit products, including checking, savings, retirement, and money market accounts, as well as longer-term certificates of deposits. the company also offers commercial loans comprising secured and unsecured loans; consumer loans, such as secured and unsecured loans for financing automobiles, home improvements, education, overdraft protection, and personal investments, as well as residential mortgages; real estate construction and acquisition loans; home equity lines of credit; and credit cards, as well as originates and holds fixed and variable rate mortgage loans. in addition, it provides other banking services that include safe deposit boxes, direct deposit of payroll and social security checks, online banking, bill pay, online account opening, mobile deposit, mobile banking, debit cards, e-statements, and atm services; title insurance and other financial institution-related products and services; and treasury and corporate cash management services. it operates through 69 branches in virginia and north carolina. carter bankshares, inc. was founded in 1974 and is headquartered in martinsville, virginia.",178,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CARG,"cargurus, inc. operates an online automotive marketplace connecting buyers and sellers of new and used cars in the united states and internationally. the company provides consumers an online automotive marketplace where they can search for new and used car listings from its dealers, as well as sell their car in the united states marketplace. its marketplace connects dealers to a large audience of informed and engaged consumers. the company operates online marketplaces under the cargurus brand in canada and the united kingdom; and the autolist and pistonheads online marketplaces as independent brands in the united states and the united kingdom. cargurus, inc. was founded in 2005 and is headquartered in cambridge, massachusetts.",112,Media & Entertainment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
CARR,"carrier global corporation provides heating, ventilating, and air conditioning (hvac), refrigeration, fire, security, and building automation technologies worldwide. it operates through three segments: hvac, refrigeration, and fire & security. the hvac segment provides products, controls, services, and solutions to meet the heating, cooling, and ventilation needs of residential and commercial customers. its products include air conditioners, heating systems, controls, and aftermarket components, as well as aftermarket repair and maintenance services and building automation solutions. the refrigeration segment offers transport refrigeration and monitoring products and services, as well as digital solutions for trucks, trailers, shipping containers, intermodal applications, food retail, and warehouse cooling; and commercial refrigeration solutions, such as refrigerated cabinets, freezers, systems, and controls. the fire & security segment provides various residential, commercial, and industrial technologies, including fire, flame, gas, smoke, and carbon monoxide detection; portable fire extinguishers; fire suppression systems; intruder alarms; access control systems; video management systems; and electronic controls. its other fire and security service offerings comprise audit, design, installation, and system integration, as well as aftermarket maintenance and repair and monitoring services. the company offers its products under the autronica, det-tronics, edwards, fireye, gst, kidde, lenels2, marioff, onity, and supra; carrier, automated logic, bryant, ciat, day & night, heil, noresco, and riello; and carrier commercial refrigeration, carrier transicold, and sensitech brands. the company was incorporated in 2019 and is headquartered in palm beach gardens, florida.",229,Capital Goods,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CARS,"cars.com inc. operates as a digital marketplace and provides solutions for the automotive industry. its platform connects car shoppers with sellers. the company, through its marketplace, dealer websites, and other digital products, showcases dealer inventory, elevate and amplify dealers' and automotive manufacturers' (oems) brands, connect sellers with ready-to-buy audience, and empower shoppers with the resources and information needed to make car buying decisions. it also offers marketplace products, such as marketplace subscription advertising and social selling services; digital solutions, including website platform hosting, ai chat tool, digital retailing, and review and reputation management; and advertising comprising display advertising, instant loan screening and approvals, digital advertising, and in-market audio services. as of december 31, 2021, the company served 19,179 dealer customers in 50 states, which included franchise and independent dealers, with digital and brick-and-mortar stores; and primary automakers selling vehicles in the united states. its customers are local car dealers, oems, and other national advertisers. cars.com inc. was founded in 1998 and is based in chicago, illinois.",166,Media & Entertainment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
CASA,"casa systems, inc., a communications technology company, provides solutions for next-generation physical, virtualized, and cloud native architectures for cable broadband, fixed-line broadband, and wireless networks in north america, latin america, the asia-pacific, europe, the middle east, and africa. it offers converged cable access platforms; wireless network core products, such as virtual evolved packet and 5g core products, as well as small cell solutions, axyom element management system, and fixed wireless access devices; and virtual, centralized, and distributed deployment, and bandwidth capacity expansion systems. the company also provides optical access solutions, virtualized broadband network gateway router and multiservice router, fiber extension, and residential broadband gateways; and machine-to-machine and industrial internet of things routers. the company was incorporated in 2003 and is headquartered in andover, massachusetts.",124,Technology Hardware & Equipment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
CASH,"pathward financial, inc. operates as the holding company for pathward, national association that provides various banking products and services in the united states. it operates through three segments: consumer, commercial, and corporate services/other. the company offers demand deposit accounts, savings accounts, money market savings accounts, and certificate accounts. it also provides commercial finance product comprising term lending, asset based lending, factoring, lease financing, insurance premium finance, government guaranteed lending, and other commercial finance products; consumer credit products; other consumer financing services; short-term taxpayer advance loans; and warehouse financing services. in addition, the company issues prepaid cards and consumer credit products; sponsors merchant acquiring and automated teller machines (atms) in various debit networks; and offers tax refund-transfer services, and other payment industry products and services. the company was formerly known as meta financial group, inc. and changed its name to pathward financial, inc. in july 2022. pathward financial, inc. was founded in 1954 and is headquartered in sioux falls, south dakota.",160,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CASI,"casi pharmaceuticals, inc., a biopharmaceutical company, develops and commercializes therapeutics and pharmaceutical products in china, the united states, and internationally. it offers evomela, an intravenous formulation of melphalan for use as a conditioning treatment prior to stem cell transplantation, and as a palliative treatment for patients with multiple myeloma. the company's product pipeline includes cnct19, an autologous cd19 car-t investigative product for the treatment of patients with b-cell acute lymphoblastic leukemia (b-all) and b-cell non-hodgkin lymphoma (b-nhl); bi-1206 that is in phase i/ii trial in combination with anti-pd1 therapy keytruda for solid tumors, and in a phase i/iia trial in combination with mabthera (rituximab) in patients with relapsed/refractory nhl; and cb-5339, which is in phase i clinical trial for acute myeloid leukemia and myelodysplastic syndrome. its product pipeline also comprises cid-103 for the treatment of patients with multiple myeloma; thiotepa, which has multiple indications including use as a conditioning treatment for various allogeneic haemopoietic stem cell transplants; and octreotide long acting injectable formulations for the treatment of acromegaly and for the control of symptoms associated with various neuroendocrine tumors. the company has licensing agreements with juventas cell therapy ltd; bioinvent international ab; black belt therapeutics limited; and cleave therapeutics, inc. it also has distribution agreements with china resources pharmaceutical commercial group international trading co., ltd; pharmathen global bv; and riemser pharma gmbh. the company was formerly known as entremed, inc. and changed its name to casi pharmaceuticals, inc. in june 2014. casi pharmaceuticals, inc. was incorporated in 1991 and is based in rockville, maryland.",254,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
CASS,"cass information systems, inc. provides payment and information processing services to manufacturing, distribution, and retail enterprises in the united states. it operates through two segments, information services and banking services. the company's services include freight invoice rating, payment processing, auditing, and the generation of accounting and transportation information. it also processes and pays facility-related invoices, such as electricity, gas, waste, and telecommunications expenses; and provides telecom expense management solutions. in addition, the company, through its banking subsidiary, cass commercial bank, provides a range of banking products and services, such as checking, savings, and time deposit accounts; commercial, industrial, and real estate loans; and cash management services to privately-owned businesses and faith-related ministries. further, it provides b2b payment platform for clients that require an agile fintech partner. it operates through its banking facility near downtown st. louis, missouri; operating branch in the bridgeton, missouri; and leased facilities in fenton, missouri and colorado springs, colorado. the company was formerly known as cass commercial corporation and changed its name to cass information systems, inc. in january 2001. cass information systems, inc. was founded in 1906 and is headquartered in st. louis, missouri.",189,Software & Services,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
CASY,"casey's general stores, inc., together with its subsidiaries, operates convenience stores under the casey's and casey's general store names. its stores offer a selection of food, including freshly prepared foods, such as pizza, donuts, and sandwiches; beverages; tobacco and nicotine products; health and beauty aids; automotive products; and other nonfood items. the company's stores also provide motor fuel for sale on a self-service basis; and gasoline and diesel fuel. in addition, its stores offer various products, include soft drinks, energy, water, sports drinks, juices, coffee, and tea and dairy products; beer, wine, and spirits; snacks, candy, packaged bakery, and other food items; ice, ice cream, meals, and appetizers; health and beauty aids, electronic accessories, housewares, and pet supplies; and lotto/lottery and prepaid cards. further, the company operates two stores that sells tobacco and nicotine products; one liquor store; and one grocery store. as of april 30, 2022, it operated 2,452 convenience stores. casey's general stores, inc. was founded in 1959 and is headquartered in ankeny, iowa.",166,Food & Staples Retailing,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CAT,"caterpillar inc. manufactures and sells construction and mining equipment, diesel and natural gas engines, and industrial gas turbines worldwide. its construction industries segment offers asphalt pavers, backhoe loaders, compactors, cold planers, compact track and multi-terrain loaders, excavators, motorgraders, pipelayers, road reclaimers, site prep tractors, skid steer loaders, telehandlers, and utility vehicles; mini, small, medium, and large excavators; compact, small, and medium wheel loaders; track-type tractors and loaders; and wheel excavators. the resource industries segment provides electric rope shovels, draglines, hydraulic shovels, rotary drills, hard rock vehicles, track-type tractors, mining trucks, longwall miners, wheel loaders, off-highway trucks, articulated trucks, wheel tractor scrapers, wheel dozers, fleet management, landfill compactors, soil compactors, machinery components, autonomous ready vehicles and solutions, select work tools, and safety services and mining performance solutions. the energy & transportation segment offers reciprocating engines, generator sets, integrated systems and solutions, turbines and turbine-related services, remanufactured reciprocating engines and components, centrifugal gas compressors, diesel-electric locomotives and components, and other rail-related products and services for marine, oil and gas, industrial, and electric power generation sectors. the company's financial products segment provides operating and finance leases, installment sale contracts, working capital loans, and wholesale financing plans; and insurance and risk management products for vehicles, power generation facilities, and marine vessels. the all other operating segment manufactures filters and fluids, undercarriage, ground engaging tools, etc. the company was formerly known as caterpillar tractor co. and changed its name to caterpillar inc. in 1986. the company was founded in 1925 and is headquartered in deerfield, illinois.",251,Capital Goods,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CATC,"cambridge bancorp operates as the bank holding company for cambridge trust company that provides commercial and consumer banking, and investment management and trust services. the company accepts various deposits, such as checking, savings, money market, trust, and individual retirement accounts; and time and demand deposits, and certificates of deposit. its loan products include residential and commercial real estate loans; home equity lines of credit and term loans; commercial and industrial loans; secured and unsecured loans, lines of credit, and personal installment loans; and construction loans. the company also offers cash management, online and mobile banking, and payments services. it serves commercial enterprises, non-profit organizations, and individuals. the company operates through a network of 19 banking offices in eastern massachusetts and new hampshire; and two wealth management offices located in massachusetts, as well as three wealth management offices located in new hampshire. cambridge bancorp was founded in 1890 and is headquartered in cambridge, massachusetts.",153,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CATM,none,1,Software & Services,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
CATO,"the cato corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern united states. it operates through two segments, retail and credit. the company's stores and e-commerce websites offer a range of apparel and accessories, including dressy, career, and casual sportswear; and dresses, coats, shoes, lingerie, costume jewelry, and handbags, as well as men's wear, and lines for kids and infants. it operates its stores and e-commerce websites under the cato, cato fashions, cato plus, it's fashion, it's fashion metro, and versona names. as of january 29, 2022, the company operated 1,311 stores in 32 states. it also provides credit card services to its customers, as well as layaway plans for customers who agree to make periodic payments. the company was incorporated in 1946 and is headquartered in charlotte, north carolina.",140,Retailing,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
CATS,none,1,Health Care Equipment & Services,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
CATY,"cathay general bancorp operates as the holding company for cathay bank that offers various commercial banking products and services to individuals, professionals, and small to medium-sized businesses in the united states. the company offers various deposit products, including passbook accounts, checking accounts, money market deposit accounts, certificates of deposit, individual retirement accounts, and public funds deposits. it also provides loan products, such as commercial mortgage loans, commercial loans, small business administration loans, residential mortgage loans, real estate construction loans, and home equity lines of credit, as well as installment loans to individuals for household, and other consumer expenditures. in addition, the company offers trade financing, letter of credit, wire transfer, forward currency spot and forward contract, traveler's check, safe deposit, night deposit, social security payment deposit, collection, bank-by-mail, drive-up and walk-up window, automatic teller machine, internet banking, investment, and other customary bank services, as well as securities and insurance products. as of march 1, 2022, it operated 31 branches in southern california, 16 branches in northern california, 10 branches in new york, four branches in washington, two branches in illinois, and two branches in texas, as well as one branch each in maryland, massachusetts, nevada, and new jersey, and hong kong; and a representative office each in beijing, taipei, and shanghai. the company was founded in 1962 and is headquartered in los angeles, california.",224,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CB,"chubb limited provides insurance and reinsurance products worldwide. the company's north america commercial p&c insurance segment offers commercial property, casualty, workers' compensation, package policies, risk management, financial lines, marine, construction, environmental, medical, cyber risk, surety, and excess casualty; and group accident and health insurance to large, middle market, and small commercial businesses. its north america personal p&c insurance segment provides affluent and high net worth individuals and families with homeowners, automobile and collector cars, valuable articles, personal and excess liability, travel insurance, and recreational marine insurance and services. the company's north america agricultural insurance segment offers multiple peril crop and crop-hail insurance; and coverage for farm and ranch property, and commercial agriculture products. its overseas general insurance segment provides coverage for traditional commercial property and casualty; specialty categories, such as financial lines, marine, energy, aviation, political risk, and construction risk; and group accident and health, and traditional and specialty personal lines for corporations, middle markets, and small customers through retail brokers, agents, and other channels. the company's global reinsurance segment offers traditional and specialty reinsurance under the chubb tempest re brand to property and casualty companies. its life insurance segment provides protection and savings products comprising whole life, endowment plans, individual term life, group term life, medical and health, personal accident, credit life, universal life, and unit linked contracts. the company markets its products primarily through insurance and reinsurance brokers. the company was formerly known as ace limited and changed its name to chubb limited in january 2016. chubb limited was incorporated in 1985 and is headquartered in zurich, switzerland.",260,Insurance,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
CBAN,"colony bankcorp, inc. operates as the bank holding company for colony bank that provides various banking products and services to commercial and consumer customers. the company offers various deposit products, including demand, savings, and time deposits. it also provides loans to small and medium-sized businesses; residential and commercial construction, and land development loans; commercial real estate loans; commercial loans; agri-business and production loans; residential mortgage loans; home equity loans; and consumer loans. in addition, the company offers internet banking services, electronic bill payment services, safe deposit box rentals, telephone banking, credit and debit card services, and remote depository products, as well as access to a network of atms. as of january 20, 2022, it operated 39 locations throughout georgia. the company was founded in 1975 and is headquartered in fitzgerald, georgia.",131,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CBAY,"cymabay therapeutics, inc., a clinical-stage biopharmaceutical company, focuses on developing and providing therapies to treat liver and other chronic diseases. its lead product candidate is seladelpar (mbx-8025), a selective agonist of peroxisome proliferator activated receptor delta that is in phase iii clinical study for the treatments of primary biliary cholangitis (pbc), as well as has completed phase 2b clinical study to treat patients with nonalcoholic steatohepatitis. the company also develops mbx-2982, which is in phase 2a clinical study for the disease/condition of hypoglycemia in type 1 diabetics. it has a license agreement with abw cyclops spv lp to support development of seladelpar for the treatment of pbc; and holds a worldwide license from janssen pharmaceuticals, inc. to research, develop, and commercialize compounds with activity against an undisclosed metabolic disease target. the company was formerly known as metabolex, inc. cymabay therapeutics, inc. was incorporated in 1988 and is headquartered in newark, california.",151,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
CBB,none,1,Telecommunication Services,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
CBL,"headquartered in chattanooga, tn, cbl properties owns and manages a national portfolio of market-dominant properties located in dynamic and growing communities. cbl's portfolio is comprised of 106 properties totaling 65.7 million square feet across 25 states, including 64 high quality enclosed, outlet and open-air retail centers and 8 properties managed for third parties. cbl seeks to continuously strengthen its company and portfolio through active management, aggressive leasing and profitable reinvestment in its properties.",73,Real Estate,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
CBMG,none,1,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
CBNK,"capital bancorp, inc. operates as the bank holding company for capital bank, n.a. that provides various banking products and services to businesses, not-for-profit associations, and entrepreneurs in the united states. it operates through commercial banking, capital bank home loans, and opensky segments. the company offers a range of deposit products and services, including checking and savings, time, interest bearing demand, and money market accounts, as well as certificates of deposit; and credit cards. it originates residential mortgages and offers residential and commercial real estate, construction, and commercial business loans, as well as other consumer loans, such as term loans, car loans, and boat loans to small to medium-sized businesses, professionals, real estate investors, and small residential builders and individuals. it operates through four commercial bank branches, four mortgage offices, and one loan production office. the company was founded in 1974 and is headquartered in rockville, maryland.",146,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CBOE,"cboe global markets, inc., through its subsidiaries, operates as an options exchange worldwide. it operates through five segments: options, north american equities, futures, europe and asia pacific, and global fx. the options segment trades in listed market indices. the north american equities segment trades in listed u.s. and canadian equities. this segment also offers exchange-traded products (etp) transaction and etp listing services. the futures segment trades in futures. the europe and asia pacific segment offers pan-european listed equities and derivatives transaction services, etps, exchange-traded commodities, and international depository receipts, as well as etp listings and clearing services. the global fx segment provides institutional foreign exchange (fx) trading and non-deliverable forward fx transactions services. the company has strategic relationships with s&p dow jones indices, llc; ftse international limited; frank russell company; msci inc.; and dji opco, llc. the company was formerly known as cboe holdings, inc. and changed its name to cboe global markets, inc. in october 2017. cboe global markets, inc. was founded in 1973 and is headquartered in chicago, illinois.",171,Diversified Financials,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CBRE,"cbre group, inc. operates as a commercial real estate services and investment company worldwide. it operates through three segments: advisory services, global workplace solutions, and real estate investments segments. the advisory services segment provides strategic advice and execution to owners, investors, and occupiers of real estate in connection with leasing; property sales and mortgage services under the cbre capital markets brand; property and project management services, including construction management, marketing, building engineering, accounting, and financial services for owners of and investors in office, industrial, and retail properties; and valuation services that include market value appraisals, litigation support, discounted cash flow analyses, and feasibility studies, as well as consulting services, such as property condition reports, hotel advisory, and environmental consulting. the global workplace solutions segment offers facilities management, project management, and transaction management services. the real estate investments segment provides investment management services under the cbre investment management brand to pension funds, insurance companies, sovereign wealth funds, foundations, endowments, and other institutional investors; development services under the trammell crow company brand primarily to users of and investors in commercial real estate; and flexible-space solutions under the cbre hana brand. the company was founded in 1906 and is headquartered in dallas, texas.",200,Real Estate,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
CBRL,"cracker barrel old country store, inc. develops and operates the cracker barrel old country store concept in the united states. the company's cracker barrel stores consist of a restaurant with a gift shop. its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. the company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. as of september 14, 2022, it operated 664 cracker barrel stores in 45 states. the company was incorporated in 1969 and is headquartered in lebanon, tennessee.",108,Consumer Services,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CBSH,"commerce bancshares, inc. operates as the bank holding company for commerce bank that provides retail, mortgage banking, corporate, investment, trust, and asset management products and services to individuals and businesses in the united states. it operates through three segments: consumer, commercial, and wealth. the consumer segment offers various banking products and services, including consumer deposits; consumer loans, such as automobile, motorcycle, marine, tractor/trailer, recreational vehicle, fixed rate and revolving home equity, and other consumer loans; patient health care financing; real estate loans; indirect and other consumer financing; personal mortgage banking; consumer installment lending; and consumer debit and credit bank cards. the commercial segment provides corporate lending, leasing, international, merchant and commercial bank card, and securities safekeeping and bond accounting services; and business products, government deposits, and related commercial cash management services, as well as sells fixed income securities to correspondent banks, corporations, public institutions, municipalities, and individuals. the wealth segment provides traditional trust and estate planning, advisory and discretionary investment portfolio management, and brokerage services, as well as private banking accounts. the company also offers private equity investment, securities brokerage, insurance agency, specialty lending, and leasing services, as well as online and mobile banking services. it operates through a network of 287 locations in missouri, kansas, illinois, oklahoma, and colorado, as well as commercial offices. commerce bancshares, inc. was founded in 1865 and is headquartered in kansas city, missouri.",229,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CBT,"cabot corporation operates as a specialty chemicals and performance materials company. it operates through three segments: reinforcement materials, performance chemicals, and purification solutions. the company offers reinforcing carbons used in tires as a rubber reinforcing agent and performance additive, as well as in industrial products, such as hoses, belts, extruded profiles, and molded goods; and engineered elastomer composites. it also provides specialty carbons used in inks, coatings, plastics, adhesives, toners, batteries, and displays applications; masterbatch and conductive compound products for use in automotive, industrial, packaging, infrastructure, agriculture, consumer products, and electronics industries; inkjet colorants used in the inkjet printing applications; fumed silica used in adhesives, sealants, cosmetics, batteries, inks, toners, silicone elastomers, coatings, polishing slurries, and pharmaceuticals; fumed alumina used in various products, including inkjet media, lighting, coatings, cosmetics, and polishing slurries; and aerogel, a hydrophobic, silica-based particle for use in various thermal insulation and specialty chemical applications. in addition, the company offers activated carbon products used for the purification of water, air, food and beverages, pharmaceuticals, and other liquids and gases; and activated carbon solutions for activated carbon injection in coal-fired utilities, mobile water filter units, and carbon reactivation services. the company sells its products through distributors and sales representatives in the americas, europe, the middle east, africa, and the asia pacific. cabot corporation was founded in 1882 and is headquartered in boston, massachusetts.",225,Materials,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
